Configure run and logs directory,68669
Configure simulator,341049
Read file of Satellites,73601366
Read user terminals,7485327
Install Internet stack (incl. routing) on nodes,247110197
Read ISLs,13701294
Create ISLs and edge-to-interface-index mapping,725496265
Create Service Links,360402234
Set up reinforcement learning routing protocol.,7444793327
Generate pass lists for every user terminals,3674746555
Read UDP burst schedule,21897364
Remove previous UDP burst log files,20729
Setup UDP burst servers,6828735
Filter UDP burst schedule for this system,29355
Schedule start of first UDP burst client,15438
Whatever is between previous timestamp and the simulation run,19437
Run simulation,17821515836194
Write UDP burst log files,1669663
Destroy simulator,250908846
Reset configuration,202089
